text,ASSORTMENT,PROMOTIONS,DELIVERY,PRICE,PRODUCTS_QUALITY,SUPPORT,CATALOG_NAVIGATION,PAYMENT
Самая ужасная доставка,0,1,0,1,1,1,0,0
"В течении [NUM] минут, как заявлено, привозят почти никогда",0,0,1,0,0,0,0,0
"Здравствуйте. Работайте, пожалуйста, над качеством сборки заказов - очень часто привозят некачественный товар из раздела овощей и фруктов. Будто ваши сборщики даже не смотрят, что кладут. Зелень - вялая. Молоко с якобы хорошим сроком годности - кислое.",1,0,0,0,1,0,1,0
А ой,0,0,0,1,1,1,1,1
Часто попадают продукты с завтрашним истеком годности и запахом,0,0,1,1,1,0,0,0
Доставка стала очень долгой. Не на совесть стали собирать заказы! И побольше скидок и приятных цен. Спасибо.,1,1,1,1,1,0,0,0
"Хороший ассортимент, но очень долгая доставка если заказ большой",0,0,1,0,0,0,0,0
Изменить время доставки на актуальное. За [NUM] минут не доставили. И за [NUM] тоже.,0,0,1,0,0,0,0,0
Часто доставка более [NUM] минут даже в основном . Зачем в рекламе так заявлять .,0,0,1,0,0,0,0,0
"Хорошая доставка продуктов,но цены бывает в [NUM] раза дороже чем в обычных магазинах",1,0,1,1,0,0,0,0
Некоторые цены на товары завышены почти в два раза в сравнении с другими магазинами. Я понимаю курьерам надо платить. Но в два раза это перебор.,1,1,0,1,0,0,0,0
"Была акция «купи от [NUM] р и получи возможность выиграть дорогой аксессуар за [NUM]р». Сестре выпала колонка за [NUM] тысяч, она заказала и оплатила. А привозят ей колноку за [NUM]к, аргументировав это тем, что только такая осталась. Считаю это темный паттерн",0,1,0,0,0,0,0,0
Нормально,1,0,0,0,1,0,0,0
"Иногда продукт не надлежащего качества , даже не проверен а стоит как хороший свежий. Доставка очень долгая стала , совсем долгая. [NUM] минут назад сделал заказ а его еще даже не передали курьеру. Как передадут он будет доставлять еще [NUM] минут. Раньше лучше",1,0,1,0,1,0,0,0
"Супер доставка, одна из самых быстрых. Но очень мало выбора в сравнении с другими сервисами, поэтому порой требуется делать выбор не в вашу пользу :(",1,0,0,0,1,0,0,0
"Очень удобно, стоимость выше, но это нивелируется удобством, еще б доставка порой до часа не доходила, иначе весь смысл сервиса теряется. Если скорость и дальше будет большой, тот же сбермаркет побеждает по скорости/стоимости",0,0,1,0,0,0,0,0
супер,1,0,0,1,0,0,0,0
"Последние [NUM]-[NUM] доставок вы задерживаетесь, и о задержки я узнаю только по факту,что вы опаздываете. Курьеры говорят мы не виноваты ,это всё приложение. А многие люди расчитывать на указанное время,сейчас заказала уже пол часа назад,а вы только собир заказ",0,0,1,0,0,0,0,0
Иногда долгая доставка,0,0,1,0,0,0,0,0
"Все очень быстро, хороший ассортимент продукции",0,1,0,0,0,0,0,0
"Последнее время очень долгая доставка. Позиционируете ее как бесплатную, но на самом деле огромная наценка в товарах. Мало выбора",1,1,1,1,0,0,0,0
Да ничего,1,0,1,0,0,0,0,0
Спекулянты,0,0,1,1,0,0,0,0
"Доставка, которая заявлена как «очень быстрая», всё чаще стала задерживаться. Минимальная цена заказа всё чаще от [NUM] и выше. Это доставляет неудобства и подталкивает делать выбор в сторону других доставок.",0,1,1,1,0,0,0,0
"Слишком большая накрутка, благодаря таким ценам, начала чаще ходить в магазин сама. Ассортимент небольшой, зато всякие вафли зарубежные есть, действительно «то что нужно»",1,1,0,1,0,0,0,0
"Очень много продукции, где срок годности заканчивается через [NUM]-[NUM] дня, особенно готовой еды",0,1,0,0,1,0,0,0
Вы ребята десять из девяти,1,0,1,0,0,1,0,0
"Поддежку увольте и посадите опорных людей, а доставщики это ужас полный [NUM] минуты и свалил отменив заказ",1,1,1,1,1,1,1,1
"Некоторые продукты быстро заканчиваются, к вечеру не успеваешь заказать(((( в остальном - вы прекрасны ??",1,0,1,0,0,0,0,0
Ооооочень часто доставка значительно превышает [NUM] минут,1,0,1,1,0,0,1,0
"грустно, что у вас часто гнилые ягоды и фрукты. хотелось бы чтобы этот момент пофиксили или чтобы можно было добавлять комментарии к продуктам, чтобы другие пользователи не попались на такую же досаду, как и ты",1,0,0,1,1,0,0,0
"Доставка практически в центре города от [NUM]р. и занимает час, раньше доставка была +- от [NUM]р. и занимала минут [NUM]",0,0,1,1,0,0,0,0
"Все хорошо, но цены иногда очень дорогие и доставка не [NUM] минут",1,0,1,1,0,0,0,0
"Очень дорого, и доставка иногда задерживается",1,1,0,1,0,0,0,0
Никаких промоакций для старых пользователей нету,0,1,0,1,0,0,0,0
становитесь хуже с каждым днём,1,1,1,1,1,1,0,1
"Все супер, но иногда бывают промахи с качеством продуктов",0,1,0,1,1,0,0,0
"Хорошо покупать только по промокодам или большим скидкам. В остальном слишком высокие цены, вдобавок иногда привозите просрочку.",1,1,0,1,1,0,0,0
"Доставку задерживают каждый раз, когда я делаю заказ!",0,0,1,1,1,0,0,0
"Когда нужно быстро, то к вам, если нужно подешевле и можно подождать, то есть куча аналогов. Мне кажется вам стоит сделать какой-то уникальный ассортимент, азиатская пища сейчас в тренде. Ток Поки и прочая корейская лабуда на фоне дорам. Текст больше не в",1,0,0,1,0,0,0,0
Стало дорого,1,1,0,1,0,0,0,0
"Слишком долгая доставка, проще и дешевле заказать с магазина",0,0,1,0,0,0,0,0
очень долгая доставка,1,1,1,1,0,0,0,0
"Цена бывают слишком завышенными, вкус продуктов «Самокат» часто никакой",1,0,0,1,0,0,0,0
Много накручиваете цену,0,0,0,1,0,0,0,0
Алкоголь надо,0,1,0,0,1,0,0,0
"Хороший магазин на срокую руку,хочется больше асортимент",1,1,0,0,1,0,0,0
Отвратительной сервис по доставке. Ни разу не доставляли заказ за [NUM] минут. Постоянно нужно писать в поддержку и спрашивать где курьер,0,0,1,0,0,0,0,0
Доставка более [NUM] минут,0,0,1,0,0,0,0,0
"Цены повысили, качество упало, курьер долго едет, поддержка не отвечает",0,0,1,0,0,1,0,0
"Ну пока выбираешь заказ , возрастает минимальный заказ. И я в целом отказалась от вас именно по этому. Спокойно захожу в лавку и плачу эти [NUM] за доставку но Беру то что надо.",0,0,1,0,0,0,0,0
"Стали регулярные проблемы с доставкой. Если раньше доставляли минут за [NUM], стало ожидание и по [NUM] и по часу. Причём сначала пишет одно время потом другое. Очень много товаров от самоката, но на нет возможности почитать про них отзывы, а вкус часто не очен",1,0,1,0,0,0,0,0
"мы решили коллективным решением, что вы слишком долго возите заказы. вы слишком подняли цену на читос с кетчупом.",1,1,1,1,0,1,0,0
добавьте функцию выбрать количество фруктов и овощей,1,1,1,0,1,0,0,0
Все норм. Просто хотелось бы не такие высокие цены.,1,1,1,1,0,1,0,1
"Вечная долгая доставка, сделайте с этим что нибудь уже пожалуйста",1,0,1,1,0,0,0,0
"Указано [NUM] минут, доставляете [NUM], это с учетом того, что собираете заказы в соседнем доме ??",0,0,1,0,0,0,0,0
Желательно звонить для отмены либо замены товара,1,1,1,1,0,1,0,0
"Хуевая компания, долгая доставка",0,0,1,0,0,1,0,0
"Цены в большей степени дороже чем во многих магазинах, неопределенная доставка (часто время только приблизительное), бывает привозят продукты с истеющим сроком годности ([NUM]-[NUM] дня до того как испортится). Поддержка как правило не может на что-то повлиять.",0,0,0,1,1,1,1,0
"Высокие цены, сто раз доставляли заказы по более чем час и поддержке было пофиг",1,1,1,1,0,1,0,0
"Очень удобная доставка, большое разнообразие продуктов, плюс регулярные скидки и акции очень радуют. Однако, в последние полгода сильно испортилась доставка, раньше всегда доставляли минут за [NUM], теперь же приходится ждать до часа, даже не [NUM] минут.",0,1,1,0,0,0,0,0
"В последнее время стали привозить не качественный товар, особенно молочные продукты, в том числе ни раз привозили просроченные детские йогурты. Раньше такого небыло. Что касается доставки, всё очень быстро, курьеры всегда очень вежливые.",0,1,0,1,1,0,0,0
"Заказ сделала, но вспомнила через минуту, что ещё нужно добавить одну позиции, но уже не принимает, нужно в течении трех минут разрешить добавлять к заказу, если он ещё не в пути",1,0,1,0,0,0,0,0
"[NUM].Очень долгая доставка!!!При заявленных [NUM] минутах порой доставка достигает часа!!! [NUM].Завышена минимальная сумма заказа. [NUM].Цены на продукцию выросли, впрочем как и везде, но у вас слишком сильно :(",0,0,1,1,0,0,0,0
Долгая доставка,0,0,1,0,0,0,0,0
"Все отлично, кроме доставки",0,0,1,0,0,0,0,0
"Очень большой акцент к службе поддержки, извините, что за тупых людей Вы туда набрали?",1,1,0,1,1,1,1,0
"Видно сильно завышенные цены, разнообразие продуктов можно увеличить. Например хачапури по аджарски, кимчи",1,1,1,1,0,0,0,0
Да.,1,1,0,1,1,0,0,0
Кайф,0,1,0,1,0,0,0,0
Долгая сборка заказа,0,0,1,0,0,0,0,0
Небрежно набрасывают товар в пакет .порой йогурты или творожки бывают пробиты.,0,0,1,0,0,0,0,0
возмутительно долгая доставка для [NUM] минут.,0,0,1,1,0,0,0,0
